id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,year,month,result_clean,toss_won_match,bat_first_team,bat_first_won
257,IPL-2011,Mumbai,2011-04-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,AM Saheba,,2011,4,normal,0,Mumbai Indians,1
258,IPL-2011,Kolkata,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,,2011,4,normal,1,Kolkata Knight Riders,0
259,IPL-2011,Delhi,2011-04-23,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,0,Delhi Capitals,29,0,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,,2011,4,normal,0,Delhi Capitals,1
260,IPL-2011,Hyderabad,2011-04-24,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,AL Hill,,2011,4,normal,0,Mumbai Indians,1
261,IPL-2011,Jaipur,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,SK Warne,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,,2011,4,normal,1,Kochi Tuskers Kerala,0
262,IPL-2011,Chennai,2011-04-25,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Chennai Super Kings,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,,2011,4,normal,0,Chennai Super Kings,1
263,IPL-2011,Delhi,2011-04-26,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,,2011,4,normal,1,Delhi Capitals,0
264,IPL-2011,Mumbai,2011-04-27,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Chennai Super Kings,0,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,,2011,4,normal,0,Pune Warriors,0
265,IPL-2011,Kochi,2011-04-27,Sunrisers Hyderabad,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Sunrisers Hyderabad,55,0,I Sharma,Nehru Stadium,HDPK Dharmasena,AL Hill,,2011,4,normal,0,Sunrisers Hyderabad,1
266,IPL-2011,Delhi,2011-04-28,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Kolkata Knight Riders,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,,2011,4,normal,0,Kolkata Knight Riders,1
267,IPL-2011,Jaipur,2011-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,,2011,4,normal,1,Mumbai Indians,0
268,IPL-2011,Bangalore,2011-04-29,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,,2011,4,normal,0,Royal Challengers Bangalore,1
269,IPL-2011,Kochi,2011-04-30,Delhi Capitals,Kochi Tuskers Kerala,Delhi Capitals,bat,normal,0,Delhi Capitals,38,0,V Sehwag,Nehru Stadium,HDPK Dharmasena,AL Hill,,2011,4,normal,1,Delhi Capitals,1
270,IPL-2011,Kolkata,2011-04-30,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,,2011,4,normal,1,Punjab Kings,0
271,IPL-2011,Jaipur,2011-01-05,Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,,2011,1,normal,1,Pune Warriors,0
272,IPL-2011,Chennai,2011-01-05,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,,2011,1,normal,1,Chennai Super Kings,1
273,IPL-2011,Mumbai,2011-02-05,Mumbai Indians,Punjab Kings,Punjab Kings,field,normal,0,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,,2011,2,normal,0,Mumbai Indians,1
274,IPL-2011,Delhi,2011-02-05,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,,2011,2,normal,1,Delhi Capitals,0
275,IPL-2011,Hyderabad,2011-03-05,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,,2011,3,normal,0,Kolkata Knight Riders,1
276,IPL-2011,Chennai,2011-04-05,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,,2011,4,normal,0,Rajasthan Royals,0
277,IPL-2011,Mumbai,2011-04-05,Mumbai Indians,Pune Warriors,Pune Warriors,field,normal,0,Mumbai Indians,21,0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel,,2011,4,normal,0,Mumbai Indians,1
278,IPL-2011,Kochi,2011-05-05,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,,2011,5,normal,0,Kochi Tuskers Kerala,1
279,IPL-2011,Hyderabad,2011-05-05,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,,2011,5,normal,1,Sunrisers Hyderabad,0
280,IPL-2011,Bangalore,2011-06-05,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,0,Royal Challengers Bangalore,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,,2011,6,normal,0,Royal Challengers Bangalore,1
281,IPL-2011,Kolkata,2011-07-05,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,1,Kolkata Knight Riders,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,,2011,7,normal,0,Chennai Super Kings,0
282,IPL-2011,Mumbai,2011-07-05,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,,2011,7,normal,0,Mumbai Indians,1
283,IPL-2011,Bangalore,2011-08-05,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,,2011,8,normal,0,Kochi Tuskers Kerala,0
284,IPL-2011,Chandigarh,2011-08-05,Punjab Kings,Pune Warriors,Punjab Kings,bat,normal,0,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,,2011,8,normal,0,Punjab Kings,0
285,IPL-2011,Jaipur,2011-09-05,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,,2011,9,normal,0,Chennai Super Kings,1
286,IPL-2011,Hyderabad,2011-10-05,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,bat,normal,0,Pune Warriors,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,,2011,10,normal,0,Sunrisers Hyderabad,0
287,IPL-2011,Chandigarh,2011-10-05,Punjab Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Punjab Kings,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,,2011,10,normal,0,Punjab Kings,1
288,IPL-2011,Jaipur,2011-11-05,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,S Aravind,Sawai Mansingh Stadium,HDPK Dharmasena,K Hariharan,,2011,11,normal,1,Rajasthan Royals,0
289,IPL-2011,Chennai,2011-12-05,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri,,2011,12,normal,1,Chennai Super Kings,1
290,IPL-2011,Indore,2011-05-13,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,6,KD Karthik,Holkar Cricket Stadium,S Asnani,RJ Tucker,,2011,5,normal,1,Kochi Tuskers Kerala,0
291,IPL-2011,Bangalore,2011-05-14,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0,4,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,,2011,5,normal,1,Kolkata Knight Riders,0
292,IPL-2011,Mumbai,2011-05-14,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,10,0,A Mishra,Wankhede Stadium,S Ravi,SK Tarapore,,2011,5,normal,1,Sunrisers Hyderabad,1
293,IPL-2011,Dharamsala,2011-05-15,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Punjab Kings,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri,,2011,5,normal,0,Punjab Kings,1
294,IPL-2011,Indore,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,BJ Hodge,Holkar Cricket Stadium,PR Reiffel,RJ Tucker,,2011,5,normal,1,Rajasthan Royals,0
295,IPL-2011,Mumbai,2011-05-16,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,,2011,5,normal,1,Pune Warriors,0
296,IPL-2011,Dharamsala,2011-05-17,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,normal,0,Punjab Kings,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,,2011,5,normal,1,Punjab Kings,1
297,IPL-2011,Chennai,2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,normal,0,Chennai Super Kings,11,0,WP Saha,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RE Koertzen,,2011,5,normal,1,Chennai Super Kings,1
298,IPL-2011,Mumbai,2011-05-19,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel,,2011,5,normal,1,Pune Warriors,0
299,IPL-2011,Mumbai,2011-05-20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,,2011,5,normal,0,Mumbai Indians,0
300,IPL-2011,Dharamsala,2011-05-21,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,normal,0,Sunrisers Hyderabad,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,,2011,5,normal,0,Sunrisers Hyderabad,1
302,IPL-2011,Bangalore,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen,,2011,5,normal,1,Chennai Super Kings,0
303,IPL-2011,Kolkata,2011-05-22,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,JEC Franklin,Eden Gardens,SK Tarapore,SJA Taufel,,2011,5,normal,1,Kolkata Knight Riders,0
304,IPL-2011,Mumbai,2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel,,2011,5,normal,1,Royal Challengers Bangalore,0
305,IPL-2011,Mumbai,2011-05-25,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel,,2011,5,normal,1,Kolkata Knight Riders,0
306,IPL-2011,Chennai,2011-05-27,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,,2011,5,normal,0,Royal Challengers Bangalore,1
307,IPL-2011,Chennai,2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,,2011,5,normal,1,Chennai Super Kings,1
308,IPL-2012,Chennai,2012-04-04,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk",JD Cloete,SJA Taufel,,2012,4,normal,1,Chennai Super Kings,0
309,IPL-2012,Kolkata,2012-05-04,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,8,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena,,2012,5,normal,1,Kolkata Knight Riders,0
310,IPL-2012,Mumbai,2012-06-04,Pune Warriors,Mumbai Indians,Mumbai Indians,field,normal,0,Pune Warriors,28,0,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,,2012,6,normal,0,Pune Warriors,1
311,IPL-2012,Jaipur,2012-06-04,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,0,Rajasthan Royals,31,0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,,2012,6,normal,0,Rajasthan Royals,1
312,IPL-2012,Bangalore,2012-07-04,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Royal Challengers Bangalore,20,0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,,2012,7,normal,0,Royal Challengers Bangalore,1
313,IPL-2012,Visakhapatnam,2012-07-04,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Chennai Super Kings,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete,HDPK Dharmasena,,2012,7,normal,0,Chennai Super Kings,1
314,IPL-2012,Jaipur,2012-08-04,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,22,0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,,2012,8,normal,0,Rajasthan Royals,1
315,IPL-2012,Pune,2012-08-04,Pune Warriors,Punjab Kings,Pune Warriors,bat,normal,0,Pune Warriors,22,0,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel,,2012,8,normal,1,Pune Warriors,1
316,IPL-2012,Visakhapatnam,2012-09-04,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete,,2012,9,normal,0,Sunrisers Hyderabad,0
317,IPL-2012,Bangalore,2012-10-04,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,RJ Tucker,,2012,10,normal,0,Kolkata Knight Riders,1
318,IPL-2012,Delhi,2012-10-04,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore,,2012,10,normal,1,Chennai Super Kings,0
319,IPL-2012,Mumbai,2012-11-04,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,27,0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford,,2012,11,normal,0,Mumbai Indians,1
320,IPL-2012,Chennai,2012-12-04,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,,2012,12,normal,0,Royal Challengers Bangalore,0
321,IPL-2012,Chandigarh,2012-12-04,Pune Warriors,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,SK Tarapore,,2012,12,normal,1,Pune Warriors,0
322,IPL-2012,Kolkata,2012-04-13,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,,2012,4,normal,0,Rajasthan Royals,0
323,IPL-2012,Delhi,2012-04-19,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Delhi Capitals,0,5,KP Pietersen,Feroz Shah Kotla,BF Bowden,SK Tarapore,,2012,4,normal,0,Sunrisers Hyderabad,0
324,IPL-2012,Pune,2012-04-14,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,Pune Warriors,0,7,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford,,2012,4,normal,0,Chennai Super Kings,0
325,IPL-2012,Kolkata,2012-04-15,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Punjab Kings,2,0,SP Narine,Eden Gardens,Asad Rauf,S Asnani,,2012,4,normal,0,Punjab Kings,1
326,IPL-2012,Bangalore,2012-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Rajasthan Royals,59,0,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,,2012,4,normal,1,Rajasthan Royals,1
327,IPL-2012,Mumbai,2012-04-16,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,,2012,4,normal,1,Mumbai Indians,0
328,IPL-2012,Jaipur,2012-04-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,5,BJ Hodge,Sawai Mansingh Stadium,Aleem Dar,BNJ Oxenford,,2012,4,normal,0,Sunrisers Hyderabad,0
329,IPL-2012,Bangalore,2012-04-17,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,normal,0,Royal Challengers Bangalore,0,6,CH Gayle,M Chinnaswamy Stadium,S Asnani,S Das,,2012,4,normal,0,Pune Warriors,0
330,IPL-2012,Chandigarh,2012-04-18,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,,2012,4,normal,0,Punjab Kings,0
331,IPL-2012,Hyderabad,2012-10-05,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Delhi Capitals,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel,,2012,10,normal,0,Sunrisers Hyderabad,0
332,IPL-2012,Chennai,2012-04-19,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Chennai Super Kings,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Asad Rauf,S Das,,2012,4,normal,0,Chennai Super Kings,1
333,IPL-2012,Chandigarh,2012-04-20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,RJ Tucker,,2012,4,normal,1,Punjab Kings,0
334,IPL-2012,Chennai,2012-04-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,,2012,4,normal,0,Rajasthan Royals,0
335,IPL-2012,Delhi,2012-04-21,Pune Warriors,Delhi Capitals,Delhi Capitals,field,normal,0,Pune Warriors,20,0,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,,2012,4,normal,0,Pune Warriors,1
336,IPL-2012,Mumbai,2012-04-22,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,normal,0,Punjab Kings,0,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,,2012,4,normal,0,Mumbai Indians,0
337,IPL-2012,Cuttack,2012-04-22,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,B Lee,Barabati Stadium,BF Bowden,SK Tarapore,,2012,4,normal,1,Sunrisers Hyderabad,0
338,IPL-2012,Jaipur,2012-04-23,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Royal Challengers Bangalore,46,0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,,2012,4,normal,0,Royal Challengers Bangalore,1
339,IPL-2012,Pune,2012-04-24,Pune Warriors,Delhi Capitals,Pune Warriors,bat,normal,0,Delhi Capitals,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,,2012,4,normal,0,Pune Warriors,0
340,IPL-2012,Chandigarh,2012-04-25,Punjab Kings,Mumbai Indians,Punjab Kings,bat,normal,0,Mumbai Indians,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford,,2012,4,normal,0,Punjab Kings,0
341,IPL-2012,Pune,2012-04-26,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,18,0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,,2012,4,normal,1,Sunrisers Hyderabad,1
342,IPL-2012,Delhi,2012-04-27,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Capitals,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford,,2012,4,normal,0,Delhi Capitals,1
343,IPL-2012,Chennai,2012-04-28,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,normal,0,Punjab Kings,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,,2012,4,normal,1,Punjab Kings,1
344,IPL-2012,Kolkata,2012-04-28,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,47,0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,,2012,4,normal,1,Kolkata Knight Riders,1
345,IPL-2012,Delhi,2012-04-29,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Delhi Capitals,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,,2012,4,normal,1,Delhi Capitals,1
346,IPL-2012,Mumbai,2012-04-29,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford,,2012,4,normal,1,Sunrisers Hyderabad,0
347,IPL-2012,Chennai,2012-04-30,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,,2012,4,normal,0,Chennai Super Kings,0
348,IPL-2012,Cuttack,2012-01-05,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,13,0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,,2012,1,normal,1,Sunrisers Hyderabad,1
349,IPL-2012,Jaipur,2012-01-05,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,0,Delhi Capitals,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,,2012,1,normal,0,Rajasthan Royals,0
350,IPL-2012,Bangalore,2012-02-05,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,,2012,2,normal,1,Royal Challengers Bangalore,0
351,IPL-2012,Pune,2012-03-05,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,,2012,3,normal,1,Mumbai Indians,1
352,IPL-2012,Chennai,2012-04-05,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,,2012,4,normal,1,Chennai Super Kings,1
353,IPL-2012,Kolkata,2012-05-05,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,7,0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,,2012,5,normal,1,Kolkata Knight Riders,1
354,IPL-2012,Chandigarh,2012-05-05,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,,2012,5,normal,1,Rajasthan Royals,1
355,IPL-2012,Mumbai,2012-06-05,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,,2012,6,normal,1,Chennai Super Kings,0
356,IPL-2012,Bangalore,2012-06-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,,2012,6,normal,1,Sunrisers Hyderabad,0
357,IPL-2012,Delhi,2012-07-05,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,0,Kolkata Knight Riders,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,,2012,7,normal,0,Delhi Capitals,0
358,IPL-2012,Pune,2012-08-05,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,Rajasthan Royals,0,7,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove,,2012,8,normal,0,Pune Warriors,0
359,IPL-2012,Hyderabad,2012-08-05,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Punjab Kings,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,BNJ Oxenford,,2012,8,normal,0,Punjab Kings,1
